#{"t_start": 1774554981.1472578, "env_id": "None"}
r,l,t,is_success,done_reason,reached_grasped,reached_on_belt,grasped_ratio,on_belt_ratio
-246.11617,500,53.261339,False,max_steps,False,False,0.0,0.0
-231.41005,500,53.261365,False,max_steps,False,False,0.0,0.0
-243.22801,500,53.261378,False,max_steps,False,False,0.0,0.0
-258.74142,500,53.261386,False,max_steps,False,False,0.0,0.0
-247.12909,500,53.261395,False,max_steps,False,False,0.0,0.0
-260.98145,500,53.94459,False,max_steps,False,False,0.0,0.0
-234.20808,500,54.31497,False,max_steps,False,False,0.0,0.0
-233.21515,500,54.484066,False,max_steps,False,False,0.0,0.0
-250.0,500,54.484154,False,max_steps,False,False,0.0,0.0
-256.9082,500,54.484175,False,max_steps,False,False,0.0,0.0
-248.01953,500,54.484183,False,max_steps,False,False,0.0,0.0
-254.50015,500,54.484188,False,max_steps,False,False,0.0,0.0
-250.0,500,54.484193,False,max_steps,False,False,0.0,0.0
-248.49095,500,54.4842,False,max_steps,False,False,0.0,0.0
-252.99002,500,54.484205,False,max_steps,False,False,0.0,0.0
-252.02249,500,55.168798,False,max_steps,False,False,0.0,0.0
-242.76732,500,55.534861,False,max_steps,False,False,0.0,0.0
-229.72037,500,55.706878,False,max_steps,False,False,0.0,0.0
-282.92398,500,55.706959,False,max_steps,False,False,0.0,0.0
-254.84,500,55.70698,False,max_steps,False,False,0.0,0.0
-253.79419,500,55.706987,False,max_steps,False,False,0.0,0.0
-220.54688,500,55.706992,False,max_steps,False,False,0.0,0.0
-244.78325,500,55.706997,False,max_steps,False,False,0.0,0.0
-251.02847,500,55.707001,False,max_steps,False,False,0.0,0.0
-248.35803,500,55.707006,False,max_steps,False,False,0.0,0.0
-255.78616,500,56.364442,False,max_steps,False,False,0.0,0.0
-265.1484,500,56.733352,False,max_steps,False,False,0.0,0.0
-230.21724,500,56.909911,False,max_steps,False,False,0.0,0.0
-237.31851,500,56.909996,False,max_steps,False,False,0.0,0.0
-243.80605,500,56.910017,False,max_steps,False,False,0.0,0.0
-233.3944,500,56.910024,False,max_steps,False,False,0.0,0.0
-221.19624,500,56.91003,False,max_steps,False,False,0.0,0.0
-239.11926,500,56.910034,False,max_steps,False,False,0.0,0.0
-252.09998,500,56.910039,False,max_steps,False,False,0.0,0.0
-57.448223,500,56.910043,False,max_steps,True,False,0.838,0.0
-199.52702,500,57.588289,False,max_steps,False,False,0.0,0.0
-260.34668,500,57.943568,False,max_steps,False,False,0.0,0.0
-233.07077,500,58.116144,False,max_steps,False,False,0.0,0.0
-222.5729,500,58.116231,False,max_steps,False,False,0.0,0.0
-205.43219,500,58.116252,False,max_steps,True,False,0.044,0.0
-243.65782,500,58.11626,False,max_steps,False,False,0.0,0.0
-242.8007,500,58.116265,False,max_steps,False,False,0.0,0.0
-260.1791,500,58.11627,False,max_steps,False,False,0.0,0.0
-209.6229,500,58.116275,False,max_steps,False,False,0.0,0.0
-232.94255,500,58.116279,False,max_steps,False,False,0.0,0.0
-204.72786,500,58.777585,False,max_steps,False,False,0.0,0.0
-234.70837,500,59.141503,False,max_steps,False,False,0.0,0.0
-65.05756,500,59.321657,False,max_steps,True,False,0.782,0.0
-243.33858,500,59.321742,False,max_steps,False,False,0.0,0.0
-182.82141,500,59.321763,False,max_steps,True,False,0.192,0.0
-244.08751,500,59.32177,False,max_steps,False,False,0.0,0.0
-234.00423,500,59.321775,False,max_steps,False,False,0.0,0.0
-260.88254,500,59.321779,False,max_steps,False,False,0.0,0.0
-258.70407,500,59.321784,False,max_steps,False,False,0.0,0.0
-237.43246,500,59.321788,False,max_steps,False,False,0.0,0.0
-222.94707,500,59.99908,False,max_steps,False,False,0.0,0.0
-245.3446,500,60.380259,False,max_steps,False,False,0.0,0.0
-222.41875,500,60.58734,False,max_steps,False,False,0.0,0.0
-248.10794,500,60.58743,False,max_steps,False,False,0.0,0.0
-253.16782,500,60.587451,False,max_steps,False,False,0.0,0.0
-257.68405,500,60.587458,False,max_steps,False,False,0.0,0.0
-233.18237,500,60.587462,False,max_steps,False,False,0.0,0.0
-202.18008,500,60.587467,False,max_steps,False,False,0.0,0.0
-247.93307,500,60.587472,False,max_steps,False,False,0.0,0.0
-234.27888,500,60.587479,False,max_steps,False,False,0.0,0.0
-233.7368,500,61.303416,False,max_steps,False,False,0.0,0.0
-249.14682,500,61.688483,False,max_steps,False,False,0.0,0.0
-213.98923,500,61.890284,False,max_steps,False,False,0.0,0.0
-245.80798,500,61.890373,False,max_steps,False,False,0.0,0.0
-235.33789,500,61.890395,False,max_steps,False,False,0.0,0.0
-212.83394,500,61.890402,False,max_steps,False,False,0.0,0.0
-254.07788,500,61.890408,False,max_steps,False,False,0.0,0.0
-235.4003,500,61.890413,False,max_steps,False,False,0.0,0.0
-254.62083,500,61.890419,False,max_steps,False,False,0.0,0.0
-240.6635,500,61.890423,False,max_steps,False,False,0.0,0.0
-224.00905,500,61.183518,False,max_steps,False,False,0.0,0.0
-249.45988,500,61.551315,False,max_steps,False,False,0.0,0.0
-244.76962,500,61.727114,False,max_steps,False,False,0.0,0.0
-204.34741,500,61.727201,False,max_steps,False,False,0.0,0.0
-248.23686,500,61.727222,False,max_steps,False,False,0.0,0.0
-35.035694,500,61.727228,False,max_steps,True,True,0.248,0.074
-69.36881,500,61.727235,False,max_steps,True,False,0.812,0.0
-252.23389,500,61.72724,False,max_steps,False,False,0.0,0.0
-249.42427,500,61.727244,False,max_steps,False,False,0.0,0.0
-231.06648,500,61.727249,False,max_steps,False,False,0.0,0.0
-257.34402,500,62.378065,False,max_steps,False,False,0.0,0.0
-242.3434,500,62.577791,False,max_steps,False,False,0.0,0.0
-72.52514,500,62.908521,False,max_steps,True,False,0.768,0.0
-232.12752,500,62.90861,False,max_steps,False,False,0.0,0.0
-31.742716,500,62.908631,False,max_steps,True,True,0.6,0.19
-232.07436,500,62.908639,False,max_steps,False,False,0.0,0.0
-187.687,500,62.908644,False,max_steps,True,False,0.246,0.0
-288.48697,500,62.908648,False,max_steps,False,False,0.0,0.0
-209.78394,500,62.908653,False,max_steps,False,False,0.0,0.0
-253.5405,500,62.908658,False,max_steps,False,False,0.0,0.0
-233.1783,500,63.565072,False,max_steps,False,False,0.0,0.0
-225.57787,500,63.765161,False,max_steps,False,False,0.0,0.0
-245.73851,500,64.112588,False,max_steps,False,False,0.0,0.0
-235.2223,500,64.112674,False,max_steps,False,False,0.0,0.0
-208.11716,500,64.112695,False,max_steps,False,False,0.0,0.0
-265.1424,500,64.112702,False,max_steps,False,False,0.0,0.0
-226.62044,500,64.112707,False,max_steps,False,False,0.0,0.0
-224.26244,500,64.112712,False,max_steps,False,False,0.0,0.0
-226.27701,500,64.112716,False,max_steps,False,False,0.0,0.0
-232.72435,500,64.112721,False,max_steps,False,False,0.0,0.0
-40.298958,500,64.769062,False,max_steps,True,True,0.174,0.006
-217.72739,500,64.968147,False,max_steps,False,False,0.0,0.0
-227.81488,500,65.33967,False,max_steps,False,False,0.0,0.0
-219.85239,500,65.339755,False,max_steps,False,False,0.0,0.0
-220.68463,500,65.339776,False,max_steps,False,False,0.0,0.0
-250.67036,500,65.339783,False,max_steps,False,False,0.0,0.0
-197.24477,500,65.339788,False,max_steps,False,False,0.0,0.0
-250.0,500,65.339792,False,max_steps,False,False,0.0,0.0
-212.8707,500,65.339797,False,max_steps,False,False,0.0,0.0
-214.89561,500,65.339801,False,max_steps,False,False,0.0,0.0
